,Country Name,Country Code,variable,value
0,Afghanistan,AFG,Adjusted savings: carbon dioxide damage (% of GNI),2.2126814369878
1,Albania,ALB,Adjusted savings: carbon dioxide damage (% of GNI),1.32825069733025
2,Algeria,DZA,Adjusted savings: carbon dioxide damage (% of GNI),3.89453324263234
3,American Samoa,ASM,Adjusted savings: carbon dioxide damage (% of GNI),
4,Andorra,AND,Adjusted savings: carbon dioxide damage (% of GNI),
5,Angola,AGO,Adjusted savings: carbon dioxide damage (% of GNI),1.72594965064137
6,Antigua and Barbuda,ATG,Adjusted savings: carbon dioxide damage (% of GNI),1.8048230531858
7,Argentina,ARG,Adjusted savings: carbon dioxide damage (% of GNI),1.86388706516714
8,Armenia,ARM,Adjusted savings: carbon dioxide damage (% of GNI),1.77103074094982
9,Aruba,ABW,Adjusted savings: carbon dioxide damage (% of GNI),0.989952937280507
10,Australia,AUS,Adjusted savings: carbon dioxide damage (% of GNI),1.11294140526482
11,Austria,AUT,Adjusted savings: carbon dioxide damage (% of GNI),0.558456195182169
12,Azerbaijan,AZE,Adjusted savings: carbon dioxide damage (% of GNI),3.36470691624569
13,"Bahamas, The",BHS,Adjusted savings: carbon dioxide damage (% of GNI),0.612351619036988
14,Bahrain,BHR,Adjusted savings: carbon dioxide damage (% of GNI),3.6353404835581
15,Bangladesh,BGD,Adjusted savings: carbon dioxide damage (% of GNI),1.3936171684508
16,Barbados,BRB,Adjusted savings: carbon dioxide damage (% of GNI),0.989398302271045
17,Belarus,BLR,Adjusted savings: carbon dioxide damage (% of GNI),3.82355296066082
18,Belgium,BEL,Adjusted savings: carbon dioxide damage (% of GNI),0.724995087109856
19,Belize,BLZ,Adjusted savings: carbon dioxide damage (% of GNI),1.37628187263898
20,Benin,BEN,Adjusted savings: carbon dioxide damage (% of GNI),2.21686791944961
21,Bermuda,BMU,Adjusted savings: carbon dioxide damage (% of GNI),0.360033678341747
22,Bhutan,BTN,Adjusted savings: carbon dioxide damage (% of GNI),3.26403919232807
23,Bolivia,BOL,Adjusted savings: carbon dioxide damage (% of GNI),2.55814429876791
24,Bosnia and Herzegovina,BIH,Adjusted savings: carbon dioxide damage (% of GNI),4.79922300356295
25,Botswana,BWA,Adjusted savings: carbon dioxide damage (% of GNI),1.74751947805075
26,Brazil,BRA,Adjusted savings: carbon dioxide damage (% of GNI),1.16029689802277
27,British Virgin Islands,VGB,Adjusted savings: carbon dioxide damage (% of GNI),
28,Brunei Darussalam,BRN,Adjusted savings: carbon dioxide damage (% of GNI),2.30211091275143
29,Bulgaria,BGR,Adjusted savings: carbon dioxide damage (% of GNI),2.52685588421019
30,Burkina Faso,BFA,Adjusted savings: carbon dioxide damage (% of GNI),1.20916288770428
31,Burundi,BDI,Adjusted savings: carbon dioxide damage (% of GNI),0.879761355259572
32,Cabo Verde,CPV,Adjusted savings: carbon dioxide damage (% of GNI),1.2482300753575
33,Cambodia,KHM,Adjusted savings: carbon dioxide damage (% of GNI),2.21931879681304
34,Cameroon,CMR,Adjusted savings: carbon dioxide damage (% of GNI),0.945764274139064
35,Canada,CAN,Adjusted savings: carbon dioxide damage (% of GNI),1.30406158697541
36,Cayman Islands,CYM,Adjusted savings: carbon dioxide damage (% of GNI),0.675184137173374
37,Central African Republic,CAF,Adjusted savings: carbon dioxide damage (% of GNI),0.663413923076069
38,Chad,TCD,Adjusted savings: carbon dioxide damage (% of GNI),0.342870262204448
39,Channel Islands,CHI,Adjusted savings: carbon dioxide damage (% of GNI),
40,Chile,CHL,Adjusted savings: carbon dioxide damage (% of GNI),1.32948981562356
41,China,CHN,Adjusted savings: carbon dioxide damage (% of GNI),3.085866685195
42,Colombia,COL,Adjusted savings: carbon dioxide damage (% of GNI),1.39265117041947
43,Comoros,COM,Adjusted savings: carbon dioxide damage (% of GNI),0.844349640750789
44,"Congo, Dem. Rep.",COD,Adjusted savings: carbon dioxide damage (% of GNI),0.19294921580362
45,"Congo, Rep.",COG,Adjusted savings: carbon dioxide damage (% of GNI),1.54445111574938
46,Costa Rica,CRI,Adjusted savings: carbon dioxide damage (% of GNI),0.546614236820549
47,Cote d'Ivoire,CIV,Adjusted savings: carbon dioxide damage (% of GNI),0.893696323380106
48,Croatia,HRV,Adjusted savings: carbon dioxide damage (% of GNI),1.19661761748159
49,Cuba,CUB,Adjusted savings: carbon dioxide damage (% of GNI),1.12831768413456
50,Curacao,CUW,Adjusted savings: carbon dioxide damage (% of GNI),6.23360918593939
51,Cyprus,CYP,Adjusted savings: carbon dioxide damage (% of GNI),1.17152014944392
52,Czech Republic,CZE,Adjusted savings: carbon dioxide damage (% of GNI),1.78775816327755
53,Denmark,DNK,Adjusted savings: carbon dioxide damage (% of GNI),0.321686967345732
54,Djibouti,DJI,Adjusted savings: carbon dioxide damage (% of GNI),0.737938384986144
55,Dominica,DMA,Adjusted savings: carbon dioxide damage (% of GNI),1.26389170502205
56,Dominican Republic,DOM,Adjusted savings: carbon dioxide damage (% of GNI),1.32010098925455
57,Ecuador,ECU,Adjusted savings: carbon dioxide damage (% of GNI),1.64330306460577
58,"Egypt, Arab Rep.",EGY,Adjusted savings: carbon dioxide damage (% of GNI),3.73547210305149
59,El Salvador,SLV,Adjusted savings: carbon dioxide damage (% of GNI),1.1554278031103
60,Equatorial Guinea,GNQ,Adjusted savings: carbon dioxide damage (% of GNI),2.19033864569766
61,Eritrea,ERI,Adjusted savings: carbon dioxide damage (% of GNI),
62,Estonia,EST,Adjusted savings: carbon dioxide damage (% of GNI),2.48304900017395
63,Eswatini,SWZ,Adjusted savings: carbon dioxide damage (% of GNI),1.15869831916439
64,Ethiopia,ETH,Adjusted savings: carbon dioxide damage (% of GNI),0.833515653115397
65,Faroe Islands,FRO,Adjusted savings: carbon dioxide damage (% of GNI),0.810893165989373
66,Fiji,FJI,Adjusted savings: carbon dioxide damage (% of GNI),2.18463387432743
67,Finland,FIN,Adjusted savings: carbon dioxide damage (% of GNI),0.655476971261097
68,France,FRA,Adjusted savings: carbon dioxide damage (% of GNI),0.46385623772908
69,French Polynesia,PYF,Adjusted savings: carbon dioxide damage (% of GNI),
70,Gabon,GAB,Adjusted savings: carbon dioxide damage (% of GNI),1.43322603128581
71,"Gambia, The",GMB,Adjusted savings: carbon dioxide damage (% of GNI),1.56123631037052
72,Georgia,GEO,Adjusted savings: carbon dioxide damage (% of GNI),3.04024407534968
73,Germany,DEU,Adjusted savings: carbon dioxide damage (% of GNI),0.739845759796627
74,Ghana,GHA,Adjusted savings: carbon dioxide damage (% of GNI),1.32570413629041
75,Gibraltar,GIB,Adjusted savings: carbon dioxide damage (% of GNI),
76,Greece,GRC,Adjusted savings: carbon dioxide damage (% of GNI),1.27132361011763
77,Greenland,GRL,Adjusted savings: carbon dioxide damage (% of GNI),
78,Grenada,GRD,Adjusted savings: carbon dioxide damage (% of GNI),1.09314776606652
79,Guam,GUM,Adjusted savings: carbon dioxide damage (% of GNI),
80,Guatemala,GTM,Adjusted savings: carbon dioxide damage (% of GNI),1.02497769402656
81,Guinea,GIN,Adjusted savings: carbon dioxide damage (% of GNI),1.19694423670221
82,Guinea-Bissau,GNB,Adjusted savings: carbon dioxide damage (% of GNI),0.94029488199959
83,Guyana,GUY,Adjusted savings: carbon dioxide damage (% of GNI),2.23114173417615
84,Haiti,HTI,Adjusted savings: carbon dioxide damage (% of GNI),0.879737243685627
85,Honduras,HND,Adjusted savings: carbon dioxide damage (% of GNI),1.87955140361615
86,"Hong Kong SAR, China",HKG,Adjusted savings: carbon dioxide damage (% of GNI),0.455087195002462
87,Hungary,HUN,Adjusted savings: carbon dioxide damage (% of GNI),1.20302846534041
88,Iceland,ISL,Adjusted savings: carbon dioxide damage (% of GNI),0.352591842487266
89,India,IND,Adjusted savings: carbon dioxide damage (% of GNI),4.00883882505117
90,Indonesia,IDN,Adjusted savings: carbon dioxide damage (% of GNI),2.23886786228676
91,"Iran, Islamic Rep.",IRN,Adjusted savings: carbon dioxide damage (% of GNI),5.72124492594537
92,Iraq,IRQ,Adjusted savings: carbon dioxide damage (% of GNI),3.8066546190677
93,Ireland,IRL,Adjusted savings: carbon dioxide damage (% of GNI),0.52127118217407
